Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
472.48 ; 0.03941571
474.28 ; 0.04570402
476.09 ; 0.05417915
477.89 ; 0.06599588
479.69 ; 0.08318531
481.49 ; 0.109603
482.39 ; 0.128498
483.29 ; 0.1532988
484.19 ; 0.1868145
485.09 ; 0.2335934
486.0 ; 0.3017661
486.9 ; 0.4067208
487.35 ; 0.4818501
487.8 ; 0.5805805
488.25 ; 0.7139608
488.7 ; 0.9003335
489.15 ; 1.171928
489.6 ; 1.589977
489.82 ; 1.889313
490.05 ; 2.282447
490.27 ; 2.813304
490.5 ; 3.554516
490.61 ; 4.040461
490.72 ; 4.633551
490.78 ; 4.980286
490.84 ; 5.367676
490.86 ; 5.57862
490.89 ; 5.80214
490.91 ; 5.91894
490.92 ; 6.039414
490.93 ; 6.163464
490.94 ; 6.227021
490.95 ; 6.291505
490.96 ; 6.357069
490.9601 ; 6.423557
490.97 ; 6.491116
490.98 ; 6.559765
490.9801 ; 6.629493
490.99 ; 6.700309
491.0 ; 6.77246
491.0001 ; 6.845518
491.02 ; 6.995398
491.03 ; 7.15027
491.05 ; 7.310475
491.06 ; 7.476008
491.09 ; 7.824411
491.12 ; 8.197812
491.15 ; 8.59845
491.17 ; 9.029165
491.2 ; 9.493245
491.23 ; 9.993906
491.26 ; 10.53458
491.29 ; 11.12108
491.34 ; 12.44985
491.4 ; 14.03032
491.46 ; 15.93144
491.51 ; 18.24575
491.57 ; 21.0992
491.62 ; 24.67396
491.68 ; 29.22855
491.74 ; 35.15528
491.79 ; 43.05807
491.85 ; 53.90006
491.88 ; 60.89063
491.91 ; 69.29917
491.93 ; 79.52462
491.96 ; 92.10794
491.99 ; 107.8119
492.02 ; 127.6814
492.05 ; 153.2326
492.08 ; 186.6648
492.1 ; 231.1527
492.13 ; 291.3446
492.16 ; 373.6879
492.19 ; 486.1072
492.24 ; 811.6833
492.3 ; 1044.875
492.35 ; 824.9965
492.38 ; 653.1692
492.41 ; 505.7435
492.43 ; 391.975
492.46 ; 307.4478
492.49 ; 245.0075
492.52 ; 198.4863
492.57 ; 136.3536
492.6 ; 115.301
492.63 ; 98.62253
492.68 ; 74.31858
492.73 ; 57.8648
492.84 ; 37.78706
492.9 ; 31.42627
492.95 ; 26.53434
493.06 ; 19.62788
493.17 ; 15.09497
493.38 ; 9.71318
493.49 ; 8.041353
493.6 ; 6.766209
493.82 ; 4.981455
494.03 ; 3.819863
494.47 ; 2.450901
494.68 ; 2.027852
494.9 ; 1.705861
495.33 ; 1.256317
495.77 ; 0.9643135
496.64 ; 0.620961
497.07 ; 0.5150236
497.5 ; 0.4344713
498.37 ; 0.3220775
499.24 ; 0.2491976
500.97 ; 0.1636214
501.84 ; 0.1372954
502.71 ; 0.1172926
504.44 ; 0.08948351
506.17 ; 0.07157102
509.64 ; 0.05079592
511.38 ; 0.04453683
513.11 ; 0.03988144
516.58 ; 0.03366736
520.05 ; 0.03001166
526.99 ; 0.02680753
533.92 ; 0.02669593
540.86 ; 0.02868542
547.8 ; 0.03272592
554.74 ; 0.03942243
561.67 ; 0.05026277
565.14 ; 0.05814888
568.61 ; 0.06856514
572.08 ; 0.08266714
575.55 ; 0.1023798
579.02 ; 0.1310884
582.49 ; 0.1752261
584.22 ; 0.2067928
585.96 ; 0.2482394
587.69 ; 0.3041578
589.42 ; 0.3822022
590.29 ; 0.4333635
591.16 ; 0.4958047
591.59 ; 0.5323272
592.03 ; 0.573116
592.46 ; 0.6188533
592.68 ; 0.6438465
592.89 ; 0.6704229
593.0 ; 0.6843267
593.11 ; 0.6986815
593.22 ; 0.7134936
593.27 ; 0.7210834
593.33 ; 0.7288065
593.35 ; 0.7326971
593.38 ; 0.7366295
593.41 ; 0.7405944
593.44 ; 0.7446021
593.45 ; 0.74661
593.46 ; 0.7486179
593.48 ; 0.7506585
593.4801 ; 0.7516747
593.49 ; 0.7527
593.5 ; 0.7537162
593.5001 ; 0.7547406
593.51 ; 0.7552487
593.5101 ; 0.7557658
593.5102 ; 0.7562821
593.52 ; 0.7567902
593.5201 ; 0.7572983
593.5202 ; 0.7578237
593.53 ; 0.7583481
593.5301 ; 0.7588562
593.54 ; 0.7598896
593.5401 ; 0.7609222
593.55 ; 0.7619638
593.56 ; 0.7630054
593.5601 ; 0.764047
593.57 ; 0.7650877
593.58 ; 0.7671873
593.6 ; 0.7692949
593.63 ; 0.7735276
593.65 ; 0.7778092
593.68 ; 0.7821082
593.71 ; 0.786457
593.73 ; 0.7908312
593.76 ; 0.7952544
593.81 ; 0.8041943
593.87 ; 0.8133083
593.92 ; 0.8225721
593.98 ; 0.8319947
594.09 ; 0.8513479
594.19 ; 0.8713417
594.3 ; 0.8920859
594.41 ; 0.9136666
594.52 ; 0.9359051
594.63 ; 0.9590691
594.85 ; 1.008056
595.06 ; 1.060871
595.28 ; 1.118024
595.49 ; 1.180003
595.71 ; 1.247235
595.93 ; 1.320548
596.15 ; 1.400446
596.36 ; 1.487921
596.8 ; 1.689529
597.23 ; 1.935296
597.66 ; 2.238959
598.1 ; 2.620361
598.53 ; 3.108303
598.96 ; 3.746216
599.4 ; 4.601976
599.83 ; 5.786144
600.05 ; 6.555936
600.26 ; 7.488511
600.48 ; 8.632611
600.7 ; 10.05551
600.92 ; 11.85591
601.13 ; 14.17105
601.35 ; 17.21603
601.57 ; 21.31496
601.78 ; 26.98836
602.0 ; 35.08278
602.22 ; 47.022
602.43 ; 65.17448
602.87 ; 134.3375
603.3 ; 207.8008
603.67 ; 148.1588
604.04 ; 79.66381
604.23 ; 59.15274
604.41 ; 44.9934
604.6 ; 35.07199
604.78 ; 27.95729
605.15 ; 18.80312
605.34 ; 15.78727
605.53 ; 13.42876
605.9 ; 10.03809
606.27 ; 7.773511
607.01 ; 5.043852
607.38 ; 4.186676
607.75 ; 3.529936
608.49 ; 2.606525
609.24 ; 2.002692
610.72 ; 1.288645
611.46 ; 1.067458
612.21 ; 0.8990006
613.69 ; 0.6636416
615.17 ; 0.5107755
618.14 ; 0.331158
619.63 ; 0.275882
621.11 ; 0.2339354
624.08 ; 0.175726
627.05 ; 0.1383533
632.99 ; 0.09560658
635.96 ; 0.08310611
638.92 ; 0.07414365
644.86 ; 0.06341825
650.8 ; 0.05942857
656.74 ; 0.06095478
662.67 ; 0.06865932
665.64 ; 0.07565234
668.61 ; 0.08565959
671.58 ; 0.09992272
674.55 ; 0.120558
677.52 ; 0.1513081
680.49 ; 0.199311
681.97 ; 0.2339019
683.46 ; 0.2794895
684.94 ; 0.341222
686.42 ; 0.4275648
687.91 ; 0.5534797
689.39 ; 0.7472433
689.76 ; 0.8120672
690.14 ; 0.885838
690.32 ; 0.9266594
690.51 ; 0.9704016
690.6 ; 0.9934749
690.69 ; 1.017301
690.74 ; 1.029632
690.78 ; 1.042126
690.83 ; 1.054873
690.88 ; 1.067785
690.9 ; 1.074372
690.92 ; 1.081032
690.95 ; 1.087701
690.97 ; 1.094451
691.02 ; 1.108197
691.06 ; 1.122188
691.11 ; 1.136433
691.16 ; 1.150932
691.2 ; 1.165839
691.25 ; 1.180837
691.34 ; 1.211995
691.44 ; 1.244323
691.53 ; 1.278067
691.62 ; 1.313216
691.81 ; 1.387861
691.99 ; 1.469176
692.18 ; 1.557903
692.36 ; 1.655123
692.55 ; 1.761598
692.73 ; 1.878733
692.92 ; 2.008108
693.1 ; 2.151403
693.48 ; 2.488228
693.85 ; 2.911023
694.22 ; 3.451208
694.59 ; 4.156852
694.96 ; 5.101921
695.33 ; 6.406889
695.52 ; 7.253405
695.7 ; 8.277203
695.89 ; 9.5299
696.07 ; 11.08442
696.26 ; 13.04306
696.44 ; 15.55236
696.63 ; 18.83224
696.82 ; 23.21607
697.0 ; 29.21693
697.19 ; 37.65623
697.37 ; 49.84205
697.56 ; 67.79872
697.93 ; 130.4805
698.3 ; 188.5565
698.65 ; 133.8549
699.01 ; 71.59933
699.19 ; 53.08283
699.37 ; 40.33383
699.54 ; 31.41548
699.72 ; 25.02972
700.07 ; 16.82369
700.25 ; 14.12278
700.43 ; 12.00998
700.78 ; 8.976677
701.14 ; 6.950821
701.85 ; 4.50942
702.2 ; 3.742967
702.56 ; 3.155874
703.27 ; 2.330191
703.98 ; 1.790251
705.4 ; 1.151685
706.11 ; 0.953734
706.82 ; 0.8029857
708.24 ; 0.592178
709.66 ; 0.4551321
712.49 ; 0.2937018
713.92 ; 0.2438407
715.33 ; 0.20591
718.17 ; 0.1528823
721.01 ; 0.1184503
726.69 ; 0.0778909
729.53 ; 0.06535358
732.37 ; 0.05580952
738.05 ; 0.04247739
743.72 ; 0.03382814
755.08 ; 0.02373088
760.76 ; 0.02068264
766.44 ; 0.01843402
777.79 ; 0.01554156
789.15 ; 0.01411778
800.51 ; 0.01382871
811.86 ; 0.01471344
823.22 ; 0.01725186
834.58 ; 0.02286031
840.25 ; 0.02791311
845.93 ; 0.03587089
848.77 ; 0.04163013
851.61 ; 0.0492355
854.45 ; 0.05955096
857.29 ; 0.07400201
860.13 ; 0.09510664
862.97 ; 0.1276478
864.38 ; 0.1509661
865.81 ; 0.1816
867.22 ; 0.2230131
868.64 ; 0.280856
870.06 ; 0.3651409
871.48 ; 0.4948293
872.19 ; 0.5876123
872.9 ; 0.7094451
873.61 ; 0.8738414
873.97 ; 0.9784767
874.14 ; 1.037961
874.32 ; 1.103107
874.41 ; 1.138021
874.5 ; 1.174677
874.59 ; 1.212993
874.63 ; 1.232827
874.68 ; 1.253324
874.72 ; 1.274147
874.74 ; 1.28498
874.76 ; 1.295723
874.79 ; 1.306556
874.81 ; 1.317717
874.83 ; 1.328967
874.85 ; 1.3403
874.88 ; 1.351705
874.9 ; 1.363372
874.92 ; 1.375123
874.94 ; 1.387117
874.99 ; 1.411524
875.03 ; 1.436603
875.08 ; 1.46218
875.12 ; 1.488584
875.17 ; 1.515748
875.21 ; 1.543576
875.3 ; 1.601637
875.39 ; 1.663035
875.47 ; 1.728108
875.56 ; 1.797001
875.65 ; 1.870068
875.74 ; 1.94788
875.92 ; 2.118249
876.1 ; 2.31228
876.27 ; 2.533967
876.45 ; 2.789315
876.63 ; 3.084975
876.81 ; 3.430212
876.98 ; 3.836185
877.16 ; 4.318474
877.34 ; 4.896893
877.52 ; 5.598781
877.69 ; 6.461293
877.87 ; 7.536581
878.05 ; 8.900036
878.23 ; 10.66034
878.4 ; 12.98644
878.58 ; 16.1364
878.76 ; 20.53185
878.94 ; 26.87921
879.02 ; 31.13883
879.11 ; 36.40413
879.2 ; 42.98222
879.29 ; 51.27244
879.38 ; 61.78788
879.47 ; 75.14751
879.56 ; 91.97457
879.65 ; 112.6025
879.82 ; 160.6391
880.0 ; 187.2228
880.31 ; 124.8904
880.62 ; 62.4985
880.77 ; 45.46321
880.92 ; 34.10224
881.08 ; 26.32683
881.23 ; 20.8426
881.54 ; 13.89613
881.69 ; 11.63344
881.85 ; 9.873141
882.15 ; 7.356794
882.46 ; 5.684759
883.08 ; 3.678483
883.38 ; 3.05057
883.69 ; 2.570205
884.31 ; 1.895391
884.92 ; 1.455094
886.15 ; 0.934408
886.77 ; 0.7732527
887.38 ; 0.6505035
888.61 ; 0.4789258
889.84 ; 0.3674401
892.31 ; 0.2362183
893.53 ; 0.1957044
894.77 ; 0.1648881
897.23 ; 0.1218663
899.69 ; 0.0939489
904.61 ; 0.06110893
907.07 ; 0.0509792
909.53 ; 0.04327302
914.45 ; 0.03251596
919.38 ; 0.02553547
929.22 ; 0.01732599
934.14 ; 0.01479674
939.06 ; 0.01287648
948.91 ; 0.01020803
958.75 ; 0.008500976
961.12 ; 0.008269963
961.1201 ; 1.800086
961.13 ; 1.566221
1000.0 ; 1.826079
2000.0 ; 1.037214
5000.0 ; 0.5395861
10000.0 ; 0.3686281
